Indoor Catalogue Seeding Report
============================================================

Total products to process: 360
============================================================
  SKIP: ARC Shape Table (LF 7021) - already exists
  [IMG] CREATED: Dolphin Slide                                           | SKU=LF 916          | Rs. 5990.00 | [OK]
  [IMG] CREATED: Space Slide with Swing                                  | SKU=LF 924          | Rs.11990.00 | [OK]
  [IMG] CREATED: Castle Slide with Swing                                 | SKU=LF 922          | Rs.11990.00 | [OK]
  [IMG] CREATED: Space Swing                                             | SKU=LF 921          | Rs. 6490.00 | [OK]
  [IMG] CREATED: Castle Swing                                            | SKU=LF 919          | Rs. 6490.00 | [OK]
  [IMG] CREATED: Dolphin Swing                                           | SKU=LF 920          | Rs. 6490.00 | [OK]
  [IMG] CREATED: Dolphin Slide with Swing                                | SKU=LF 923          | Rs.11990.00 | [OK]
  [IMG] CREATED: Slide Standard - LF 990                                 | SKU=LF 990          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Slide Medium Curve - LF 972                             | SKU=LF 972          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Bear Slide                                              | SKU=LF 971          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Elephant Slide                                          | SKU=LF 970          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Elephant Slide with Swing                               | SKU=LF 976          | Rs.16990.00 | [OK]
  [IMG] CREATED: Elephant Swing                                          | SKU=LF 973          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Multicolour Swing                                       | SKU=LF 975          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Multicolour Slide with Swing                            | SKU=LF 978          | Rs.15990.00 | [OK]
  [IMG] CREATED: Bear Slide with Swing                                   | SKU=LF 977          | Rs.16990.00 | [OK]
  [IMG] CREATED: Bear Swing                                              | SKU=LF 974          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Toy Shelf                                               | SKU=LF 934-A        | Rs. 6990.00 | [OK]
  [IMG] CREATED: Book Shelf                                              | SKU=LF 9053-2       | Rs. 4490.00 | [OK]
  [IMG] CREATED: Plastic Shoe Rack                                       | SKU=LF 9130-5       | Rs. 6490.00 | [OK]
  [IMG] CREATED: Dolphin Dustbin                                         | SKU=LF 998          | Rs. 2490.00 | [OK]
  [IMG] CREATED: Pencil Dustbin                                          | SKU=LF 999          | Rs. 2990.00 | [OK]
  [IMG] CREATED: Pencil Dustbin Tall                                     | SKU=LF 999B         | Rs. 6990.00 | [OK]
  [IMG] CREATED: Multicolor Tunnel                                       | SKU=LF 932A         | Rs.19990.00 | [OK]
  [IMG] CREATED: Caterpillar Tunnel                                      | SKU=LF 932B         | Rs.19990.00 | [OK]
  [IMG] CREATED: Roller Coaster Rideon                                   | SKU=LF 450          | Rs.14990.00 | [OK]
  [IMG] CREATED: Bull Tunnel Set                                         | SKU=LF 9126         | Rs. 8490.00 | [OK]
  [IMG] CREATED: Quarter Round                                           | SKU=LF 9052-A       | Rs.13990.00 | [OK]
  [IMG] CREATED: Dolphin Rocker                                          | SKU=LF 925D         | Rs. 2690.00 | [OK]
  [IMG] CREATED: Rocking Horse                                           | SKU=LF 629          | Rs. 1990.00 | [OK]
  [IMG] CREATED: Fish Rocker                                             | SKU=LF 925B         | Rs. 2690.00 | [OK]
  [IMG] CREATED: Elephant Rocker                                         | SKU=LF 925C         | Rs. 1990.00 | [OK]
  [IMG] CREATED: Hen Rocker                                              | SKU=LF 925A         | Rs. 1990.00 | [OK]
  [IMG] CREATED: Smiley Wagon Rideon Rocker                              | SKU=LF 628          | Rs. 1990.00 | [OK]
  [IMG] CREATED: Horse Rideon Rocker                                     | SKU=LF 627          | Rs. 2390.00 | [OK]
  [IMG] CREATED: Horse Rideon Rocker with Handle                         | SKU=LF 627A         | Rs. 2390.00 | [OK]
  [IMG] CREATED: Pony Rocking Rideon                                     | SKU=LF 624          | Rs. 2790.00 | [OK]
  [IMG] CREATED: Crab See-Saw                                            | SKU=LF 108B         | Rs. 4290.00 | [OK]
  [IMG] CREATED: Fish Rocker Tall                                        | SKU=LF 9122-3       | Rs. 4990.00 | [OK]
  [IMG] CREATED: Pony 3 Way Rocker                                       | SKU=LF 417          | Rs. 3990.00 | [OK]
  [IMG] CREATED: Dolphin 3 Way Rocker                                    | SKU=LF 416          | Rs. 3990.00 | [OK]
  [IMG] CREATED: See-Saw                                                 | SKU=LF 419          | Rs. 5990.00 | [OK]
  [IMG] CREATED: Coupe Car                                               | SKU=LF 418          | Rs. 9490.00 | [OK]
  [IMG] CREATED: Motorcycle Rideon                                       | SKU=LF 928B         | Rs. 2690.00 | [OK]
  [IMG] CREATED: Swing Car                                               | SKU=LF 926A         | Rs. 2690.00 | [OK]
  [IMG] CREATED: Police Car                                              | SKU=LF 830          | Rs. 9490.00 | [OK]
  [IMG] CREATED: Car Rideon                                              | SKU=LF 440          | Rs. 6490.00 | [OK]
  [IMG] CREATED: Tricycle                                                | SKU=LF 929A         | Rs. 3190.00 | [OK]
  [IMG] CREATED: Horse Rideon Brown                                      | SKU=LF 927C         | Rs. 2290.00 | [OK]
  [IMG] CREATED: Horse Rideon Grey                                       | SKU=LF 927E         | Rs. 2290.00 | [OK]
  [IMG] CREATED: Smiley Wagon Rideon                                     | SKU=LF 927F         | Rs. 1790.00 | [OK]
  [IMG] CREATED: Plane Rideon                                            | SKU=LF 927-D        | Rs. 3190.00 | [OK]
  [IMG] CREATED: Tricycle Large                                          | SKU=LF 929B         | Rs. 2690.00 | [OK]
  [IMG] CREATED: Tricycle Extra Large                                    | SKU=LF 929C         | Rs. 2290.00 | [OK]
  [IMG] CREATED: Dog Rideon                                              | SKU=LF 927B         | Rs. 1790.00 | [OK]
  [IMG] CREATED: Plastic Balls (200 pcs)                                 | SKU=LFT 200P        | Rs. 2299.00 | [OK]
  [IMG] CREATED: Plastic Balls (100 pcs)                                 | SKU=LFT 100         | Rs. 1299.00 | [OK]
  [IMG] CREATED: Horse Rideon - LFT                                      | SKU=LFT 444         | Rs. 1499.00 | [OK]
  [IMG] CREATED: Elephant Rideon - LFT                                   | SKU=LFT 344         | Rs. 1799.00 | [OK]
  [IMG] CREATED: Kitten Rideon                                           | SKU=LFT 333         | Rs. 1499.00 | [OK]
  [IMG] CREATED: Sport Tricycle                                          | SKU=LF 933          | Rs. 3790.00 | [OK]
  [IMG] CREATED: Ball Pool 5 Pcs Set                                     | SKU=LF 961A         | Rs. 9490.00 | [OK]
  [IMG] CREATED: Ball Pool 6 Pcs Set                                     | SKU=LF 101-5        | Rs. 5990.00 | [OK]
  [IMG] CREATED: Ball Pool 6 Pcs Round                                   | SKU=LF 962          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Ball Pool 2.7m2                                         | SKU=LF 963          | Rs.17990.00 | [OK]
  [IMG] CREATED: Ball Pool 4.64m2                                        | SKU=LF 964          | Rs.21990.00 | [OK]
  [IMG] CREATED: Play Junction Fence Red                                 | SKU=LF 135          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Play Junction Fence Blue                                | SKU=LF 135B         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Play Junction Fence White                               | SKU=LF 135W         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Crab Sandpit                                            | SKU=LF 377          | Rs. 8490.00 | [OK]
  [IMG] CREATED: Pumpkin Sandpit                                         | SKU=LF 378          | Rs. 7990.00 | [OK]
  [IMG] CREATED: Frog Sandpit                                            | SKU=LF 380          | Rs. 7990.00 | [OK]
  [IMG] CREATED: Turtle Sandpit Large                                    | SKU=LF 379          | Rs. 6990.00 | [OK]
  [IMG] CREATED: Turtle Sandpit Small                                    | SKU=LF 376          | Rs. 4490.00 | [OK]
  [IMG] CREATED: Water Sand Deluxe Set                                   | SKU=LF 375          | Rs. 4490.00 | [OK]
  [IMG] CREATED: Wall Basketball - LF 930C                               | SKU=LF 930C         | Rs. 1990.00 | [OK]
  [IMG] CREATED: Wall Basketball Premium - LF 930D                       | SKU=LF 930D         | Rs.  899.00 | [OK]
  [IMG] CREATED: Toy Trolly                                              | SKU=LF 9126-6       | Rs. 2690.00 | [OK]
  [IMG] CREATED: Balancing Bridge Set                                    | SKU=LF 142          | Rs. 5490.00 | [OK]
  [IMG] CREATED: Elephant Ring Toss                                      | SKU=LF 549          | Rs. 4490.00 | [OK]
  [IMG] CREATED: Hit Me (2 in 1) Game                                    | SKU=LF 141          | Rs. 2490.00 | [OK]
  [IMG] CREATED: Plastic Building Blocks (45 Pcs)                        | SKU=LF 9177-2       | Rs. 7990.00 | [OK]
  [IMG] CREATED: Plastic Blocks (50 Pcs)                                 | SKU=LF 118-2        | Rs. 3490.00 | [OK]
  [IMG] CREATED: Basketball Stand                                        | SKU=LF 930          | Rs. 3190.00 | [OK]
  [IMG] CREATED: Big Basketball Stand                                    | SKU=LF 930B         | Rs. 4990.00 | [OK]
  [IMG] CREATED: 3-in-1 Magnetic Easel                                   | SKU=LF 931          | Rs. 4990.00 | [OK]
  [IMG] CREATED: Small Tray                                              | SKU=LF 13-6         | Rs.  299.00 | [OK]
  [IMG] CREATED: Large Tray                                              | SKU=LF 13-5         | Rs.  349.00 | [OK]
  [IMG] CREATED: Blocks 16 Pcs                                           | SKU=LFT 3992D       | Rs. 1399.00 | [OK]
